"Operation";"Channel";"Language";"Translation";"DateFormat";"TimeFormat";"DateTimeLocale";
LOAN_PARTIAL_DEBT_COLLECTION_SUCCESSFUL;SMS;en;Partial debt collection of {AMOUNT} FCFA for loan id {LOAN_ID} to {LOAN_PROVIDER_NAME} has been successfully completed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. Financial transaction id: {FINANCIAL_TRANSACTION_ID}. Debt id: {DEBT_ID}. Total collected amount: {TOTAL_COLLECTED_AMOUNT}. Amount to be collected: {DEBT_AMOUNT}.;;;;
LOAN_PARTIAL_DEBT_COLLECTION_SUCCESSFUL;XML;en;Partial debt collection of {AMOUNT} FCFA for loan id {LOAN_ID} to {LOAN_PROVIDER_NAME} has been successfully completed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. Financial transaction id: {FINANCIAL_TRANSACTION_ID}. Debt id: {DEBT_ID}. Total collected amount: {TOTAL_COLLECTED_AMOUNT}. Amount to be collected: {DEBT_AMOUNT}.;;;;
LOAN_PARTIAL_DEBT_COLLECTION_SUCCESSFUL;EMAIL;fr;Le recouvrement partiel de {AMOUNT} FCFA pour le pret {LOAN_ID} aupres de {LOAN_PROVIDER_NAME} a ete effectue avec succes le {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}. ID transaction: {FINANCIAL_TRANSACTION_ID}.Identifiant de la dette:{DEBT_ID}. Montant total collecte {TOTAL_COLLECTED_AMOUNT}. Montant a collecter:{DEBT_AMOUNT}.;;;;
LOAN_PARTIAL_DEBT_COLLECTION_SUCCESSFUL;SMS;fr;Le recouvrement partiel de {AMOUNT} FCFA pour le pret {LOAN_ID} aupres de {LOAN_PROVIDER_NAME} a ete effectue avec succes le {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}. ID transaction: {FINANCIAL_TRANSACTION_ID}.Identifiant de la dette:{DEBT_ID}. Montant total collecte {TOTAL_COLLECTED_AMOUNT}. Montant a collecter:{DEBT_AMOUNT}.;;;;
LOAN_PARTIAL_DEBT_COLLECTION_SUCCESSFUL;XML;fr;Le recouvrement partiel de {AMOUNT} FCFA pour le pret {LOAN_ID} aupres de {LOAN_PROVIDER_NAME} a ete effectue avec succes le {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}. ID transaction: {FINANCIAL_TRANSACTION_ID}.Identifiant de la dette:{DEBT_ID}. Montant total collecte {TOTAL_COLLECTED_AMOUNT}. Montant a collecter:{DEBT_AMOUNT}.;;;;

LOAN_PAYOUT_FAILED;EMAIL;en;Payout of {AMOUNT} FCFA for loan id {LOAN_ID} from {LOAN_PROVIDER_NAME} failed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
LOAN_PAYOUT_FAILED;SMS;en;Payout of {AMOUNT} FCFA for loan id {LOAN_ID} from {LOAN_PROVIDER_NAME} failed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
LOAN_PAYOUT_FAILED;XML;en;Payout of {AMOUNT} FCFA for loan id {LOAN_ID} from {LOAN_PROVIDER_NAME} failed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
LOAN_PAYOUT_FAILED;EMAIL;fr;Le paiement de {AMOUNT} FCFA pour le pret {LOAN_ID} de {LOAN_PROVIDER_NAME} a echoue {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}.ID externe transaction: {EXTERNAL_TRANSACTION_ID}.;;;;
LOAN_PAYOUT_FAILED;SMS;fr;Le paiement de {AMOUNT} FCFA pour le pret {LOAN_ID} de {LOAN_PROVIDER_NAME} a echoue {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}.ID externe transaction: {EXTERNAL_TRANSACTION_ID}.;;;;
LOAN_PAYOUT_FAILED;XML;fr;Le paiement de {AMOUNT} FCFA pour le pret {LOAN_ID} de {LOAN_PROVIDER_NAME} a echoue {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}.ID externe transaction: {EXTERNAL_TRANSACTION_ID}.;;;;

LOAN_PAYOUT_SUCCESSFUL;EMAIL;en;Payout of {AMOUNT} FCFA for loan id {LOAN_ID} from {LOAN_PROVIDER_NAME} has been successfully completed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. Financial transaction id: {FINANCIAL_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
LOAN_PAYOUT_SUCCESSFUL;SMS;en;Payout of {AMOUNT} FCFA for loan id {LOAN_ID} from {LOAN_PROVIDER_NAME} has been successfully completed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. Financial transaction id: {FINANCIAL_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
LOAN_PAYOUT_SUCCESSFUL;XML;en;Payout of {AMOUNT} FCFA for loan id {LOAN_ID} from {LOAN_PROVIDER_NAME} has been successfully completed {COMPLETED_DATE_TIME}. Loan transaction id: {LOAN_TRANSACTION_ID}. Financial transaction id: {FINANCIAL_TRANSACTION_ID}. External transaction id: {EXTERNAL_TRANSACTION_ID}.;;;;
LOAN_PAYOUT_SUCCESSFUL;EMAIL;fr;Le paiement de {AMOUNT} FCFA pour le pret {LOAN_ID} de {LOAN_PROVIDER_NAME} a ete effectue avec succes le {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}. ID transaction: {FINANCIAL_TRANSACTION_ID}.ID externe transaction: {EXTERNAL_TRANSACTION_ID}.;;;;
LOAN_PAYOUT_SUCCESSFUL;SMS;fr;Le paiement de {AMOUNT} FCFA pour le pret {LOAN_ID} de {LOAN_PROVIDER_NAME} a ete effectue avec succes le {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}. ID transaction: {FINANCIAL_TRANSACTION_ID}.ID externe transaction: {EXTERNAL_TRANSACTION_ID}.;;;;
LOAN_PAYOUT_SUCCESSFUL;XML;fr;Le paiement de {AMOUNT} FCFA pour le pret {LOAN_ID} de {LOAN_PROVIDER_NAME} a ete effectue avec succes le {COMPLETED_DATE_TIME}. ID transaction de pret:{LOAN_TRANSACTION_ID}. ID transaction: {FINANCIAL_TRANSACTION_ID}.ID externe transaction: {EXTERNAL_TRANSACTION_ID}.;;;;

